date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:59:21	75976/75976	---M-Z	200	added ('OK')	text/html	etag:%22128c8-627d1fe1128af-gzip%22	https://html.vecurosoft.com/luxrio/demo/index.html	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/index.html	(from )
18:59:21	196/196	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2013%20May%202025%2013:29:21%20GMT	https://html.vecurosoft.com/robots.txt		(from )
18:59:21	2629/2629	---M--	200	added ('OK')	image/png	etag:%22a45-627d1fedb6da6%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-57x57.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-57x57.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:22	2822/2822	---M--	200	added ('OK')	image/png	etag:%22b06-627d1fedcc566%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-60x60.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-60x60.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:22	3358/3358	---M--	200	added ('OK')	image/png	etag:%22d1e-627d1fedcf446%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-72x72.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-72x72.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:22	3608/3608	---M--	200	added ('OK')	image/png	etag:%22e18-627d1fede4c05%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-76x76.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-76x76.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:22	5517/5517	---M--	200	added ('OK')	image/png	etag:%22158d-627d1fed850c7%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-114x114.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-114x114.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:23	5851/5851	---M--	200	added ('OK')	image/png	etag:%2216db-627d1fed86067%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-120x120.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-120x120.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:23	6489/6489	---M--	200	added ('OK')	image/png	etag:%221959-627d1fed9c7c7%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-144x144.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-144x144.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:23	6542/6542	---M--	200	added ('OK')	image/png	etag:%22198e-627d1fed9e707%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-152x152.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-152x152.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:23	6866/6866	---M--	200	added ('OK')	image/png	etag:%221ad2-627d1fedb4e66%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-180x180.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/apple-icon-180x180.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
18:59:24	1108/1108	---M--	200	added ('OK')	image/png	etag:%22454-627d1fee149a4%22	https://html.vecurosoft.com/luxrio/demo/assets/img/favicons/favicon-32x32.png	C:/Users/User/OneDrive/Desktop/Projects%20Web/EVERAURA/everaura/html.vecurosoft.com/luxrio/demo/assets/img/favicons/favicon-32x32.png	(from https://html.vecurosoft.com/luxrio/demo/index.html)
